track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,2022,12,12,130,4,140187018.0,21,79,2.0,2,2.0,116,77,65,80,6,15,4
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2,2017,6,2,27705,10,1897517891.0,537,122,0.0,6,2.0,124,79,59,86,4,8,11
Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,27,359,10,107642809.0,12,56,13.0,6,13.0,125,71,83,89,1,17,9
Pink Venom,BLACKPINK,1,2022,8,19,1963,16,551305895.0,57,119,77.0,1,13.0,90,80,71,69,2,27,10
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,2022,4,27,5491,14,556585270.0,128,84,75.0,1,35.0,83,46,34,64,31,7,34
Don't Start Now,Dua Lipa,1,2019,10,31,27119,14,2303033973.0,532,77,0.0,3,8.0,124,79,68,79,1,10,8
After Dark,Mr.Kitty,1,2014,8,8,1776,14,646886885.0,1,9,3.0,3,8.0,140,58,4,60,7,8,3
Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez",2,2022,9,16,1473,4,222612678.0,27,64,66.0,1,4.0,154,64,61,91,15,72,4
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2,2021,7,23,13315,4,1814349763.0,300,47,690.0,1,4.0,150,74,89,70,2,5,6
MIDDLE OF THE NIGHT,Elley Duhé,1,2020,1,10,4057,8,872137015.0,78,21,240.0,1,52.0,186,41,9,61,2,12,5
Atlantis,Seafret,1,2015,4,22,3045,6,571386359.0,43,53,134.0,1,32.0,166,40,23,48,5,12,3
PUNTO 40,"Baby Rasta, Rauw Alejandro",2,2022,9,22,3006,12,304079786.0,54,32,66.0,2,32.0,107,87,20,83,5,31,9
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",3,2022,9,9,852,12,174006928.0,14,1,50.0,2,32.0,87,87,52,52,31,28,24
How Do I Say Goodbye,Dean Lewis,1,2022,8,5,2163,15,284785823.0,72,97,58.0,2,154.0,82,40,39,64,21,7,7
Blind,SZA,1,2022,12,9,1484,15,163284000.0,22,51,12.0,2,154.0,114,46,60,28,91,21,4
Die For You,Joji,1,2022,11,4,1703,15,246390068.0,38,45,36.0,16,154.0,148,47,15,52,38,29,5
Doja,Central Cee,1,2022,7,20,4169,44,482257456.0,57,44,183.0,1,11.0,140,91,97,57,38,40,29
Gatita,Bellakath,1,2022,10,3,1054,44,168684524.0,9,44,15.0,1,1.0,101,90,76,81,15,33,6
Rumble,"Skrillex, Flowdan, Fred again..",3,2022,1,17,2849,44,78489819.0,39,45,27.0,1,1.0,140,81,6,84,5,6,6
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,2022,12,2,1602,44,195516622.0,12,22,12.0,1,2.0,88,49,24,66,19,18,29
Yonaguni,Bad Bunny,1,2021,6,4,9644,28,1260594497.0,120,86,164.0,4,2.0,180,64,44,65,28,14,12
Super Freaky Girl,Nicki Minaj,1,2022,8,12,4827,28,428685680.0,104,17,76.0,9,2.0,133,95,91,89,6,31,24
Running Up That Hill (A Deal With God),Kate Bush,1,1985,9,16,21811,28,1024858327.0,117,1,676.0,3,2.0,108,63,20,55,72,6,6
Dream On,Aerosmith,1,1973,1,5,168,28,838586769.0,117,1,5.0,3,2.0,80,39,24,43,39,23,3
Limbo,Freddie Dredd,1,2022,8,11,688,28,199386237.0,14,1,17.0,3,2.0,75,80,46,62,3,11,46
Where Are You Now,"Lost Frequencies, Calum Scott",2,2021,7,30,10565,44,972509632.0,238,122,557.0,17,58.0,121,67,26,64,52,17,10
WORTH NOTHING,"Twisted, Oliver Tree",2,2022,9,28,1612,44,213438580.0,34,54,34.0,17,2.0,140,58,17,62,18,20,8
Bad Habits,Ed Sheeran,1,2020,9,3,12755,8,1555511105.0,344,97,945.0,15,2.0,126,81,59,90,5,36,3
KICK BACK,Kenshi Yonezu,1,2022,10,12,574,4,210038833.0,38,101,26.0,15,2.0,102,58,29,94,5,9,11
Evergreen (You Didn’t Deserve Me At All),Omar Apollo,1,2022,4,8,2499,4,227918678.0,70,101,49.0,15,2.0,82,70,31,34,60,11,4
Good Days,SZA,1,2020,12,24,10426,2,826623384.0,133,109,182.0,1,10.0,121,46,53,78,23,72,6
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,3,27,15894,8,1802514301.0,198,13,544.0,1,60.0,103,70,92,83,1,7,6
Woman,Doja Cat,1,2021,6,25,9424,8,1329090101.0,202,50,463.0,4,60.0,108,82,88,76,9,12,9
Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,2022,9,14,713,7,181831132.0,2,4,6.0,4,60.0,85,65,36,47,31,12,10
Ferrari,"James Hype, Miggy Dela Rosa",2,2022,3,14,7758,28,462791599.0,173,79,175.0,4,168.0,125,84,70,69,1,5,5
"You're On Your Own, Kid",Taylor Swift,1,2022,10,21,2537,2,348647203.0,8,18,20.0,4,1.0,120,69,40,39,41,13,6
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",3,2022,7,17,292,6,366599607.0,26,98,4.0,4,1.0,94,58,44,57,57,10,3
Agudo Mágico,"Styrx, utku INC, Thezth",3,1930,1,1,323,6,90598517.0,4,98,14.0,4,1.0,130,65,49,80,22,7,5
Payphone,"Maroon 5, Wiz Khalifa",2,2012,1,1,14143,4,1479264469.0,56,38,0.0,1,1.0,110,74,51,74,2,29,4
All I Want for Christmas Is You,Mariah Carey,1,1994,10,28,25653,4,1449779435.0,387,132,0.0,1,1.0,150,34,33,63,16,7,4
Last Christmas,Wham!,1,1984,1,1,22153,4,1159176109.0,274,111,0.0,1,1.0,107,74,88,65,28,46,3
Rockin' Around The Christmas Tree,Brenda Lee,1,1958,1,1,14994,4,769213520.0,191,168,206.0,1,1.0,140,70,85,41,71,45,5
Jingle Bell Rock,Bobby Helms,1,1957,1,1,10326,4,741301563.0,165,99,104.0,1,1.0,119,74,78,37,84,6,3
It's Beginning To Look A Lot Like Christmas,Michael Bublé,1,2011,10,14,12353,4,807561936.0,35,99,549.0,1,1.0,93,35,38,23,91,29,3
Santa Tell Me,Ariana Grande,1,2013,12,13,9408,4,834129063.0,231,106,439.0,1,1.0,133,46,53,63,5,30,18
It's the Most Wonderful Time of the Year,Andy Williams,1,1963,10,14,8879,4,663832097.0,182,107,160.0,1,1.0,202,24,76,60,77,12,4
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1,1959,11,16,6512,4,446390129.0,88,1,277.0,1,1.0,134,45,72,24,91,18,4
Snowman,Sia,1,2017,1,1,5140,4,690104769.0,85,110,500.0,1,1.0,105,72,33,51,48,9,3
Underneath the Tree,Kelly Clarkson,1,2013,10,25,6596,4,485285717.0,144,99,251.0,1,1.0,160,51,69,81,48,21,5
Feliz Navidad,José Feliciano,1,1970,11,1,3788,4,520034544.0,21,3,10.0,1,1.0,148,50,96,82,47,34,4
Holly Jolly Christmas,Michael Bublé,1,2011,10,14,7655,4,476244795.0,5,3,291.0,1,1.0,151,65,70,47,87,9,4
Mistletoe,Justin Bieber,1,2011,1,1,9577,4,629173063.0,195,111,310.0,1,1.0,162,67,88,54,51,9,4
Sleigh Ride,The Ronettes,1,1963,11,22,10114,4,404664135.0,114,74,262.0,1,1.0,92,53,84,77,40,32,3
Seek & Destroy,SZA,1,2022,12,9,1007,4,98709329.0,5,31,1.0,1,1.0,152,65,35,65,44,21,7
Love Language,SZA,1,2022,12,9,1127,4,110849052.0,16,63,8.0,1,1.0,65,71,55,26,85,13,8
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",4,1971,12,1,10829,4,460492795.0,130,1,390.0,1,1.0,147,33,39,61,32,77,3
Used (feat. Don Toliver),"SZA, Don Toliver",2,2022,12,8,1042,4,94005786.0,7,29,3.0,1,1.0,150,73,71,69,53,32,9
A Holly Jolly Christmas - Single Version,Burl Ives,1,1952,1,1,7930,4,395591396.0,108,120,73.0,1,1.0,140,67,81,36,64,15,3
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,1,1946,11,1,11500,4,389771964.0,140,72,251.0,1,1.0,139,36,22,15,84,11,4
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1,1979,11,16,1685,4,403939487.0,1,72,29.0,1,1.0,95,75,74,58,36,9,3
Do They Know It's Christmas? - 1984 Version,Band Aid,1,1984,11,25,14169,4,481697415.0,209,30,449.0,1,1.0,115,60,23,57,36,27,3
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,2022,12,9,1634,4,110073250.0,16,20,4.0,1,1.0,125,62,59,43,84,11,5
Special,SZA,1,2022,12,9,906,4,88092256.0,6,21,3.0,1,1.0,76,60,19,20,78,11,5
Merry Christmas Everyone,Shakin' Stevens,1,1984,1,1,1087,4,351636786.0,90,35,5.0,1,1.0,101,72,91,87,14,13,3
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",2,1950,1,1,10585,4,473248298.0,126,108,406.0,1,1.0,143,60,86,32,88,34,6
SOS,SZA,1,2022,12,9,827,4,73981293.0,6,18,1.0,1,1.0,119,51,51,66,67,9,23
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,2022,12,8,1420,4,155653938.0,13,87,17.0,1,46.0,78,67,22,59,76,15,16
White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",3,1942,1,1,11940,4,395591396.0,73,79,123.0,1,46.0,96,23,19,25,91,40,3
Driving Home for Christmas - 2019 Remaster,Chris Rea,1,1986,1,1,888,4,429504768.0,50,79,6.0,1,46.0,180,51,87,58,36,18,4
Christmas (Baby Please Come Home),Darlene Love,1,1963,11,22,9122,4,242767149.0,121,58,212.0,1,46.0,126,34,35,76,39,8,5
Gone Girl,SZA,1,2022,12,9,892,4,65362788.0,3,17,2.0,1,46.0,150,43,42,44,57,15,6
F2F,SZA,1,2022,12,9,989,4,67540165.0,5,9,1.0,1,46.0,90,53,47,74,9,34,4
Notice Me,SZA,1,2022,12,9,819,4,62019074.0,14,22,1.0,1,46.0,160,72,78,68,28,11,12
Merry Christmas,"Ed Sheeran, Elton John",2,2017,11,10,2209,4,135723538.0,72,90,141.0,1,46.0,114,59,60,94,24,10,4
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",3,1958,1,1,6290,4,295998468.0,89,39,158.0,1,46.0,113,73,72,32,77,15,5
My Only Wish (This Year),Britney Spears,1,2000,11,7,6952,4,261116938.0,115,53,286.0,1,46.0,147,67,69,72,17,19,3
Antidepresan,"Mabel Matiz, Mert Demir",2,2022,11,4,313,2,136689549.0,10,6,7.0,1,9.0,100,70,92,59,3,10,3
Wild Flower (with youjeen),RM,1,2022,12,2,353,2,135611421.0,2,74,14.0,1,2.0,155,49,42,77,3,12,9
I Hate U,SZA,1,2021,12,3,4094,2,356709897.0,66,96,43.0,1,2.0,107,54,41,39,51,11,16
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,2022,12,2,880,2,110649992.0,3,7,10.0,1,2.0,112,80,15,54,9,38,5
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,573,2,301869854.0,1,7,18.0,1,24.0,166,70,57,57,9,11,7
Deck The Hall - Remastered 1999,Nat King Cole,1,1959,1,1,3299,2,127027715.0,65,39,41.0,1,24.0,107,69,96,36,81,8,4
Smoking on my Ex Pack,SZA,1,2022,12,9,811,2,57144458.0,6,11,3.0,1,24.0,81,47,33,68,24,22,38
Conceited,SZA,1,2022,12,9,899,2,56870689.0,2,14,2.0,1,24.0,150,79,77,46,5,11,7
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,2022,10,21,2415,2,323437194.0,33,57,30.0,1,11.0,110,66,19,32,69,12,4
Maroon,Taylor Swift,1,2022,10,21,2304,2,317726339.0,12,16,14.0,1,11.0,108,64,4,40,6,10,6
Tubarão te amo,"Dj LK da Escocia, Tchakabum, mc jhenny, Mc Daniel, Mc Ryan, MC RF",4,2022,9,28,1003,2,116144341.0,21,16,44.0,1,11.0,130,89,48,74,30,7,36
Bejeweled,Taylor Swift,1,2022,10,21,2699,2,328207708.0,39,35,22.0,2,11.0,164,70,39,56,6,9,7
Tarot,"Bad Bunny, Jhay Cortez",2,2022,5,6,2482,20,608228647.0,27,77,22.0,2,11.0,114,80,42,68,2,66,4
You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",2,2005,9,20,2577,20,180577478.0,108,56,30.0,2,11.0,93,63,93,88,1,12,4
Desesperados,"Chencho Corleone, Rauw Alejandro",2,2021,6,25,6821,34,809306935.0,83,58,128.0,7,11.0,90,87,51,69,36,9,8
Too Late,SZA,1,2022,12,8,714,34,49262961.0,83,9,2.0,7,11.0,128,45,35,68,78,39,8
Party,"Bad Bunny, Rauw Alejandro",2,2022,5,6,3185,4,614555082.0,38,64,37.0,3,36.0,97,83,47,80,2,24,9
Run Rudolph Run - Single Version,Chuck Berry,1,1958,1,1,8612,4,245350949.0,120,30,52.0,3,1.0,152,69,94,71,79,7,8
Jingle Bells - Remastered 1999,Frank Sinatra,1,1957,1,1,4326,4,178660459.0,32,3,65.0,3,1.0,175,51,94,34,73,10,5
Far,SZA,1,2022,12,9,680,4,51641685.0,2,15,1.0,3,1.0,116,61,48,55,67,16,8
On Time (with John Legend),"John Legend, Metro Boomin",2,2022,12,2,398,4,78139948.0,2,2,6.0,3,2.0,80,33,51,59,76,44,6
Gatúbela,"Maldy, Karol G",2,2022,8,25,3328,13,322336177.0,39,50,57.0,3,1.0,93,63,34,86,26,21,39
abcdefu,Gayle,1,2021,8,13,7215,13,1007612429.0,170,12,575.0,18,1.0,122,70,42,54,30,37,5
Sacrifice,The Weeknd,1,2022,1,7,4440,13,326792833.0,81,77,133.0,18,1.0,122,70,91,79,3,7,10
Is There Someone Else?,The Weeknd,1,2022,1,7,2881,6,391251368.0,13,89,34.0,18,3.0,135,70,60,58,4,16,3
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",3,2022,1,5,2235,6,349585590.0,65,7,70.0,16,6.0,109,60,45,47,62,31,5
Out of Time,The Weeknd,1,2022,1,7,3711,6,339659802.0,49,88,62.0,16,6.0,93,65,82,74,27,32,5
Do It To It,"Cherish, ACRAZE",2,2021,8,20,12403,6,674772936.0,183,63,465.0,16,11.0,125,85,64,81,2,7,9
We Don't Talk About Bruno,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",7,2021,11,19,2785,6,432719968.0,95,89,44.0,16,11.0,206,58,83,45,36,11,8
Pepas,Farruko,1,2021,6,24,14114,17,1309887447.0,252,109,965.0,20,11.0,130,76,44,77,1,13,3
How Do I Make You Love Me?,The Weeknd,1,2022,1,7,1915,17,119238316.0,7,47,15.0,20,11.0,121,80,62,51,2,9,8
Gasoline,The Weeknd,1,2022,1,7,2297,17,116903579.0,11,29,14.0,20,11.0,123,74,35,73,2,21,5
Infinity,Jaymes Young,1,2017,6,23,4375,17,888046992.0,24,29,396.0,20,11.0,122,67,50,67,15,30,4
Less Than Zero,The Weeknd,1,2022,1,7,2800,17,200660871.0,18,77,61.0,20,1.0,143,53,50,79,15,8,3
Take My Breath,The Weeknd,1,2021,8,6,2597,17,130655803.0,17,80,38.0,20,1.0,121,70,35,77,1,26,4
good 4 u,Olivia Rodrigo,1,2021,5,14,15563,6,1887039593.0,259,55,461.0,1,1.0,166,56,68,66,28,11,18
Here we go… again (feat. Tyler),"The Weeknd, Tyler, The Creator",3,2022,1,7,1420,6,88103848.0,7,18,7.0,1,1.0,135,41,27,64,36,60,3
Best Friends,The Weeknd,1,2022,1,7,1292,6,101114984.0,3,18,14.0,1,1.0,87,49,49,59,44,35,21
Kiss Me More (feat. SZA),"SZA, Doja Cat",2,2021,4,9,15867,6,1575467011.0,382,65,497.0,1,12.0,111,77,74,66,30,13,3
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2022,1,7,1178,6,91656026.0,9,10,9.0,1,12.0,110,75,85,84,10,31,19
Need To Know,Doja Cat,1,2021,6,11,6672,6,1042568408.0,125,36,150.0,1,12.0,130,66,19,61,30,9,7
MONTERO (Call Me By Your Name),Lil Nas X,1,2020,9,18,12329,6,1735441776.0,275,19,738.0,1,12.0,179,61,76,51,30,38,15
love nwantiti (ah ah ah),Ckay,1,2019,7,26,5669,2,726837877.0,74,19,262.0,14,12.0,93,74,53,73,61,13,4
Dawn FM,The Weeknd,1,2022,1,7,811,2,53933526.0,1,8,6.0,14,12.0,78,27,10,49,62,49,5
Surface Pressure,Jessica Darrow,1,2021,11,19,1756,2,267758538.0,38,48,20.0,14,12.0,180,65,37,58,2,4,31
Starry Eyes,The Weeknd,1,2022,1,7,1014,2,74601456.0,1,17,11.0,14,12.0,86,28,13,41,50,19,3
THATS WHAT I WANT,Lil Nas X,1,2021,9,17,7963,2,920797189.0,173,7,298.0,14,4.0,88,74,55,85,1,5,22
One Right Now (with The Weeknd),"The Weeknd, Post Malone",2,2021,11,5,4771,2,539595276.0,68,18,75.0,14,1.0,97,68,72,78,4,7,5
Beggin,Maneskin,1,2017,12,8,8559,2,1367810478.0,183,64,964.0,9,75.0,134,71,59,80,13,36,5
Mon Amour - Remix,"Aitana, zzoilo",2,2020,9,21,3221,2,578207856.0,67,13,139.0,9,40.0,116,75,36,76,12,10,10
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3,2021,10,5,3423,26,775542072.0,61,65,53.0,6,40.0,170,64,14,70,9,9,8
MONEY,Lisa,1,2021,9,10,2566,13,863625566.0,44,109,131.0,6,40.0,140,83,40,55,16,14,23
The Motto,"Tiësto, Ava max",2,2021,11,4,9151,6,656013912.0,240,107,268.0,6,5.0,118,75,46,76,3,9,4
Happier Than Ever,Billie Eilish,1,2021,7,30,8476,6,1056760045.0,138,133,283.0,6,5.0,65,31,31,24,76,14,4
Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",2,2021,10,22,7495,17,611994237.0,114,172,284.0,2,5.0,120,56,16,67,76,11,4
traitor,"Juan Cruz Toledo, Huilen Toledo",2,2021,5,21,5257,6,1230855859.0,85,43,134.0,2,5.0,176,29,12,33,68,12,5
Toxic,BoyWithUke,1,2021,9,10,1795,6,582981380.0,34,23,118.0,2,5.0,180,59,69,61,84,46,36
drivers license,Olivia Rodrigo,1,2021,1,8,12685,3,1858144199.0,185,61,485.0,2,5.0,144,59,21,43,76,10,7
Malvadão,"Xamã, DJ Gustah e Neobeats",3,2021,11,30,648,1,240684449.0,14,3,81.0,2,5.0,133,82,52,61,38,14,27
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,2021,11,12,4635,5,583687007.0,50,49,30.0,1,2.0,93,63,21,52,28,9,3
Don’t break my heart,The Weeknd,1,2022,1,7,1184,5,63803529.0,1,5,6.0,1,2.0,122,77,25,62,34,23,3
Oh My God,Adele,1,2021,11,19,4431,5,466214729.0,105,7,199.0,1,2.0,88,53,55,73,9,3,5
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,2022,1,5,759,3,236940480.0,32,7,12.0,1,2.0,170,70,61,44,40,37,4
A Tale By Quincy,The Weeknd,1,2022,1,7,733,3,41924466.0,32,2,2.0,1,2.0,94,46,55,50,71,10,11
I AM WOMAN,Emmy Meli,1,2021,11,18,2795,3,225259194.0,45,2,107.0,1,2.0,170,65,46,47,12,13,16
Medallo,"Justin Quiles, Lenny Tavárez, BL",3,2021,10,27,2780,2,393230256.0,54,21,57.0,1,2.0,90,79,79,70,57,66,8
It'll Be Okay,Shawn Mendes,1,2021,12,1,1950,2,287201015.0,56,8,104.0,1,10.0,78,40,7,29,62,9,3
Softcore,The Neighbourhood,1,2018,3,9,3947,12,599770206.0,33,102,93.0,1,30.0,94,57,36,58,5,15,3
Super Gremlin,Kodak Black,1,2021,10,30,2551,12,342779426.0,52,15,35.0,1,1.0,73,83,11,41,5,36,14
Volví,"Aventura, Bad Bunny",2,2021,8,3,5375,10,673801126.0,138,24,133.0,1,1.0,176,73,79,86,42,7,18
Todo De Ti,Rauw Alejandro,1,2020,11,2,11975,8,1168642797.0,188,75,268.0,6,16.0,128,81,57,63,40,10,4
Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",3,2019,8,30,2696,8,540539717.0,42,2,57.0,6,16.0,120,58,44,60,44,5,6
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,11,5,4963,8,383550148.0,63,40,76.0,6,16.0,82,63,85,62,6,35,4
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,3,13,6734,8,530511203.0,47,14,90.0,6,1.0,95,77,40,47,2,9,3
Every Angel is Terrifying,The Weeknd,1,2022,1,7,715,8,37307967.0,47,1,2.0,6,1.0,118,44,52,94,11,4,29
Tacones Rojos,Sebastian Yatra,1,2021,10,22,3047,9,510876816.0,77,31,85.0,5,28.0,123,75,93,86,8,14,3
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",3,2021,3,19,14140,9,1445941661.0,231,52,612.0,6,28.0,90,63,49,68,38,42,18
Dakiti,"Bad Bunny, Jhay Cortez",2,2020,10,30,11215,21,1763363713.0,189,166,525.0,9,25.0,110,73,14,57,40,11,5
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2,2021,12,29,1678,12,374191487.0,20,4,15.0,1,3.0,96,66,76,82,47,10,32
L’enfer,Stromae,1,2022,1,9,2035,12,108809090.0,41,122,394.0,1,2.0,88,56,58,55,35,23,11
Nostálgico,"Chris Brown, Rvssian, Rauw Alejandro",3,2021,9,8,2780,2,436695353.0,86,76,59.0,1,16.0,98,73,60,85,17,24,5
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",3,2021,9,24,4091,2,421040617.0,105,2,73.0,13,1.0,110,72,67,68,17,14,4
Life Goes On,Oliver Tree,1,2020,7,17,2868,2,501541661.0,43,15,116.0,13,1.0,80,70,57,49,19,12,8
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,2021,9,16,3643,2,354065229.0,69,3,70.0,13,3.0,110,86,31,53,43,11,6
Butter,BTS,1,2021,5,21,4779,6,1143647827.0,180,135,223.0,13,5.0,110,79,70,36,43,6,11
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3,2022,1,7,3517,6,311395144.0,54,28,43.0,13,5.0,78,77,49,42,1,13,19
You Right,"Doja Cat, The Weeknd",2,2021,6,24,5073,6,672656250.0,83,9,100.0,13,4.0,129,83,44,62,2,8,6
deja vu,Olivia Rodrigo,1,2021,4,1,7545,4,1256880657.0,117,39,141.0,13,46.0,181,44,22,60,61,42,9
Dynamite,BTS,1,2020,8,21,8528,5,1692897992.0,239,163,583.0,13,46.0,114,75,74,77,1,9,10
TO THE MOON,Jnr Choi,1,2021,11,5,2979,5,245095641.0,44,163,159.0,13,46.0,144,74,39,65,5,11,35
Lost in the Fire,"The Weeknd, Gesaffelstein",2,2019,1,11,7731,2,686734357.0,110,145,447.0,13,46.0,101,66,18,68,9,12,4
Salimo de Noche,"Trueno, Tiago pzk",2,2021,10,21,1057,2,261414174.0,17,5,21.0,13,46.0,84,67,78,63,29,12,5
Volando - Remix,"Sech, Bad Bunny, Mora",3,2021,7,8,3272,19,610045621.0,101,34,70.0,1,2.0,154,66,63,69,21,11,7
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,3,5,14417,19,1115880852.0,237,123,569.0,1,10.0,148,59,72,62,18,9,3
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,2021,9,3,5199,19,594482982.0,45,43,45.0,1,3.0,146,85,22,37,13,7,30
Don't Be Shy,"Tiësto, Karol G",2,2021,8,1,6026,19,566954746.0,171,51,187.0,1,21.0,120,77,51,79,20,26,6
Love Grows (Where My Rosemary Goes),Edison Lighthouse,1,1970,1,1,2877,19,0.0,16,51,54.0,1,21.0,110,53,75,69,7,17,3
LA FAMA (with The Weeknd),"The Weeknd, Rosalía",2,2021,11,11,4640,3,374706940.0,81,93,507.0,6,4.0,136,77,82,30,95,13,5
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,2021,11,19,1150,3,184937148.0,20,38,12.0,6,4.0,141,59,56,63,12,6,36
Phantom Regret by Jim,The Weeknd,1,2022,1,7,768,3,31959571.0,1,1,3.0,6,4.0,108,46,23,48,75,14,4
Dos Oruguitas,Sebastian Yatra,1,2021,11,19,925,3,167076418.0,24,47,74.0,6,4.0,94,42,47,36,76,9,5
Freaks,Surf Curse,1,2015,5,10,3006,3,824420218.0,23,21,121.0,6,13.0,180,35,41,94,76,5,5
Acapulco,Jason Derulo,1,2021,9,1,3098,3,363467642.0,111,5,182.0,1,13.0,122,77,51,79,5,16,5
Daddy Issues,The Neighbourhood,1,2015,10,30,9771,4,1127468248.0,42,70,384.0,1,3.0,85,59,33,52,7,12,3
thought i was playing,"21 Savage, Gunna",2,2022,1,7,807,4,60680939.0,3,70,5.0,1,3.0,148,68,29,73,7,7,7
ELEVEN,IVE,1,2021,12,1,521,1,247737946.0,17,89,11.0,1,3.0,120,83,59,73,6,5,11
Mood (feat. Iann Dior),"24kgoldn, Iann Dior",2,2020,7,24,12854,1,1699402402.0,237,27,636.0,1,3.0,91,70,76,72,22,27,4
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2,2021,11,19,802,1,154797871.0,13,27,8.0,1,3.0,120,72,54,71,26,10,4
DANCE CRIP,Trueno,1,2021,11,17,731,1,198883004.0,14,14,24.0,1,4.0,106,86,86,79,11,8,9
Miserable Man,David Kushner,1,2022,1,7,788,1,124407432.0,13,14,32.0,1,4.0,110,63,31,35,93,29,3
happier,Olivia Rodrigo,1,2021,5,21,3069,4,850608354.0,25,46,105.0,1,45.0,169,39,36,45,81,8,13
Praise God,Kanye West,1,2021,8,29,4651,4,376333030.0,24,6,105.0,1,45.0,118,80,21,55,1,26,17
Get Into It (Yuh),Doja Cat,1,2021,6,25,4999,4,516784627.0,43,19,73.0,12,45.0,92,91,79,66,32,9,16
Before You Go,Lewis Capaldi,1,2019,11,1,8327,24,1608045237.0,205,130,625.0,12,25.0,112,45,19,60,63,9,6
Sky,Playboi Carti,1,2020,12,25,3297,3,506778838.0,25,3,52.0,12,1.0,140,79,56,91,26,13,21
Rolling in the Deep,Adele,1,2010,11,29,35684,6,1472799873.0,195,125,0.0,2,78.0,105,73,52,76,13,5,3
Sobrio,Maluma,1,2021,7,8,3506,10,513643924.0,103,76,100.0,1,1.0,178,76,63,77,14,15,22
Peru,"Ed Sheeran, Fireboy DML",2,2021,12,23,2999,10,261286503.0,60,17,154.0,1,22.0,108,96,71,42,57,8,9
favorite crime,Olivia Rodrigo,1,2021,5,21,3681,10,783706581.0,20,21,99.0,1,7.0,173,40,19,29,86,34,4
