track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,1093605526.0,69,113,695.0,5,458.0,144,74,37,53,7,21,10
Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,179659294.0,7,6,695.0,5,48.0,130,51,18,44,76,11,3
LAGUNAS,Jasiel Nuñez e Peso Pluma,2,2023,6,22,58,18,39058561.0,2,106,4.0,2,184.0,116,77,79,62,33,15,3
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,36912123.0,21,52,6.0,1,184.0,121,65,49,78,33,17,4
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,25,1205951614.0,101,32,0.0,1,666.0,112,64,54,81,36,11,6
No Role Modelz,J. Cole,1,2014,12,9,21164,36,1791000570.0,80,65,476.0,1,14.0,100,70,47,52,30,6,33
Tattoo,Loreen,1,2023,2,25,2988,59,201660859.0,74,102,145.0,18,925.0,150,55,30,78,24,12,8
Rara Vez,"Taiu, Milo j",2,2023,2,8,893,38,248088961.0,19,23,24.0,3,88.0,120,84,96,71,18,34,17
VAGABUNDO,"Sebastian Yatra, Manuel Turizo e Beéle",3,2023,5,12,1094,34,90839753.0,40,58,47.0,8,203.0,127,82,89,85,4,23,6
august,Taylor Swift,1,2020,7,24,7324,22,607123776.0,25,81,61.0,1,44.0,90,51,42,61,53,9,3
LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11,55842345.0,19,117,8.0,1,74.0,128,75,79,63,33,15,4
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,211050784.0,161,115,246.0,9,638.0,143,64,31,87,4,8,4
Nonsense,Sabrina Carpenter,1,2022,7,15,2346,27,342897938.0,69,12,38.0,8,64.0,139,74,68,68,3,26,4
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,26,2762.0,21,110,21.0,9,71.0,162,49,78,64,19,11,4
Por las Noches,Peso Pluma,1,2021,6,11,457,24,330346424.0,8,116,4.0,3,2.0,92,81,39,60,31,7,3
Feliz Cumpleaños Ferxxo,Feid,1,2022,8,19,3430,38,601863821.0,45,69,52.0,4,3.0,95,87,57,55,10,29,7
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,52,1953533826.0,201,44,0.0,2,3.0,146,63,88,93,3,10,8
Watermelon Sugar,Harry Styles,1,2019,11,17,21915,34,2322580122.0,437,115,0.0,12,3.0,95,55,56,82,12,34,5
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,15032,30,2355719893.0,221,96,0.0,2,136.0,115,35,12,30,93,10,3
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,66902503.0,25,59,32.0,5,88.0,128,78,59,65,10,26,5
Queencard,(G)I-DLE,1,2023,5,15,451,33,96273746.0,10,126,7.0,5,148.0,130,82,69,83,3,27,5
OMG,NewJeans,1,2023,1,2,1783,27,430977451.0,26,124,15.0,1,22.0,127,80,74,77,36,11,4
